REGISTER_ID,REGISTER_NAME,VEND_CASH_ACCOUNT,VEND_BANK_ACCOUNT,MISSING_RM_METHODS
531,EXBUAE,Cash EXBUAE,Abu Dhabi Islamic Bank Account AED,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
532,EXBUAE1,,,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
650,BURIDHIMAM,,,MADA missing; VISA missing; MASTERCARD missing
654,JEDPNORAMA,,,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
487,TOWNSQJED,Cash TOWNSQJED,AL Jazeerah Bank TOWNSQJED,CASH missing
511,AZAIBAOMN,Cash AZAIBAOMN,Oman Arab Bank Account- ACC # 3106-573999-500,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
530,OMNHRMZPLZ,Cash OMNHRMZPLZ,Oman Arab Bank Account- ACC # 3106-573999-500,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
178,Hall 4,Cash Account Hall 4,National Bank of Kuwait KWD - ACC #******,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
240,ZAHIA,Cash Zahia mall,Abu Dhabi Islamic Bank Account AED,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
331,EHSAA,Cash AL IHSA MALL,AL Jazeerah Bank Al Ihsaa Mall Account - Acc # 015795017321028,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
371,SALAMAH,Cash SALMAH MALL,AL Jazeerah Bank Salma Mall Account - Acc # 015795017321033,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
335,WESTAVENUE,Cash WEST AVINEO,AL Jazeerah Bank West Avenuo Mall Account - Acc # 015795017321032,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
332,NAKJPLAZA,Cash AL NAKheel PLAZA,AL Jazeerah Bank Nakhel Plaza Account - Acc # 015795017321038,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
364,TALAMALL,Cash Tala Mall,AL Jazeerah Bank Tala Mall Account - Acc # 015795017321021,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
370,KHERAIS,Cash Khris Mall,AL Jazeerah Bank Khuris Mall Account - Acc # 015795017321019,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
376,TABOUK,Cash Tabuk Park Mall,AL Jazeerah Bank Tabouk Park Mall Account - Acc # 015795017321029,CASH missing
336,ZAHRAN,Cash AL DAHRAN MALL,AL Jazeerah Bank Dahran Mall Account - Acc # 015795017321039,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
367,JURIMALL,Cash JORI MALL,AL Jazeerah Bank Jory Mall Account - Acc # 015795017321035,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
185,MUSCATCC,Cash City Centre Muscat,Oman Arab Bank OMR,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
353,MAKTOWER,CASH Makkah tower Branch,AL Jazeerah Bank MAKTOWER Account - Acc #,VISA missing
242,FUJAIRAHCC,Cash FujairahCC,Abu Dhabi Islamic Bank Account AED,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
243,MIRDIFFCC,Cash MCC,Abu Dhabi Islamic Bank Account AED,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
190,SOHARCITY,Cash Sohar City,Oman Arab Bank OMR,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
183,Hall 8,Cash Account Hall 8,National Bank of Kuwait KWD - ACC #******,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
372,ALULA,CASH Al Ula Event Branch,AL Jazeerah Bank Ula Event Account - Acc # 015795017321041,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
337,GRMALLHAIL,CashOth Mall Hail,AL Jazeerah Bank Oth Mall Hail Account - Acc # 015795017321045,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
354,ONAIZAH,Cash Onaizah,AL Jazeerah Bank Onaizah  Account - Acc # 015795017321046,MADA missing
239,WEHDA,Cash AL Wehdah Mall,Abu Dhabi Islamic Bank Account AED,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
233,DEERFIELDS,Cash Deerfields Mall,Abu Dhabi Islamic Bank Account AED,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
232,CITYWALK,Cash City Walk Mall,Abu Dhabi Islamic Bank Account AED,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
237,MARSASEEF,Cash Marsa AL Seef Mall,Abu Dhabi Islamic Bank Account AED,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
238,SAHARH,Cash Saharah Mall,Abu Dhabi Islamic Bank Account AED,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
231,ALAIN,Cash AL Ain Mall,Abu Dhabi Islamic Bank Account AED,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
235,FUJAIRAH,Cash AL Fujairah Mall,Abu Dhabi Islamic Bank Account AED,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
236,MANARRAK,Cash Manar Mall RAK,Abu Dhabi Islamic Bank Account AED,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
189,OMMAL,Cash Mall of Oman,Oman Arab Bank OMR,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
72,Avenues,Cash Account Avenues MALL,National Bank of Kuwait KWD - ACC #******,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
234,DUBMAL,Cash Dubai Mall,Abu Dhabi Islamic Bank Account AED,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
241,YASKIOSK,Cash YASKIOSK,Abu Dhabi Islamic Bank Account AED,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
191,EXBOMN,Cash EXBOMN,Oman Arab Bank Account- ACC # 3106-573999-500,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
381,AVENUKIOSK,Cash Account Avenues Kiosk,National Bank of Kuwait KWD - ACC #******,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
360,NAKHELMALL,Cash Nakheel Mall,AL Jazeerah Bank Nakhel Mall Account - Acc # 015795017321020,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
339,ARABMALL,CASH Arab Mall Branch,AL Jazeerah Bank Arab Mall Account - Acc # 015795017321008,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
357,HAMRAA,Cash Al Hamra Mall,AL Jazeerah Bank Hamraa Mall Account - Acc # 015795017321018,CASH missing
340,AZIZMALL,CASH Aziz Mall Branch,AL Jazeerah Bank Aziz Mall Account - Acc # 015795017321012,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
351,NOUR,Cash Noor Mall,AL Jazeerah Bank Al Noor Mall Account - Acc # 015795017321025,CASH missing
404,TAHLIA-F,CASH Tahliah Center Branch,AL Jazeerah Bank Tahlia Center Account - Acc # 015795017321005,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
345,SALAMJED,CASH Salam Mall Jeddah Branch,AL Jazeerah Bank Salam Jed Mall count - Acc # 015795017321009,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
361,RYDGALLER,Cash Riyadh Gallery,AL Jazeerah Bank Riyad Gallery Account - Acc # 015795017321017,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
344,REDSEA,CASH Red Sea Mall Branch,AL Jazeerah Bank Red Sea Mall Account - Acc # 015795017321006,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
341,FLAMINGO,CASH Felamengo Mall Branch,AL Jazeerah Bank Flamingo Mall Account - Acc # 015795017321014,CASH missing
343,MAHMAL,CASH AL Mahmal Branch,AL Jazeerah Bank Mahmal Center Account - Acc # 015795017321011,CASH missing
393,Hall 4.2,Cash Account Hall 4,National Bank of Kuwait KWD - ACC #******,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
394,Hall 8.2,Cash Account Hall 8,National Bank of Kuwait KWD - ACC #******,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
396,RYDAVENUE,CashRYDAVENUE,AL Jazeerah BankRYDAVENUE,MADA missing
399,ALKOUTMALL,Cash Account ALKOUTMALL,National Bank of Kuwait KWD - ACC #******,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
400,GATEMALL,Cash Account GATEMALL,National Bank of Kuwait KWD - ACC #******,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
407,HIJABMALL,Cash HIJABMALL,AL Jazeerah HIJABMALL,AMEX missing
409,KHURAISSQ2,Cash KHURAISSQ,AL Jazeerah KHURAISSQ,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
468,KUWTMARINA,Cash Account KUWTMARINA,National Bank of Kuwait KWD - ACC #******,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
484,DUBSILCNML,Cash DUBSILCNML,Abu Dhabi Islamic Bank Account AED,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
512,BARKAOMN,Cash BARKAOMN,Oman Arab Bank Account- ACC # 3106-573999-500,CASH missing; MADA missing; VISA missing; MASTERCARD missing; AMEX missing
