"ROW_ID","BILL_TO_NAME","BILL_TO_ACCOUNT","SITE_NUMBER","BUSINESS_UNIT","TXN_SOURCE","TXN_TYPE","RATE_IS_CORPORATE","REC_ACTIVITY_NAME_BANK","SUBINVENTORY","INTEGRATION_SOURCE","DISTRIBUTION_ACC_ID","REC_ACTIVITY_NAME_CASH","REGION","CUSTOMER_TYPE","COST_CENTER_CODE"
602,Mrsool,45015,"31097",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,GRANADA,Vend HQ,,Cash Rounding,SA,MRSOOL,"0110"
603,Hungerstation,45014,"31062",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,ZAHRAN,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0601"
604,Hungerstation,45014,"31067",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,EHSAA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0801"
605,Hungerstation,45014,"31048",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,JUBAIL,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0901"
606,Hungerstation,45014,"31082",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,NAKJPLAZA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"1101"
23731868,Mrsool,45015,"145006",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,HILTONMAK3,Vend HQ,,Cash Rounding,SA,MRSOOL,"1427"
23731867,Nakhla IT Systems (LLC) Tamara,69011,"145008",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,HILTONMAK3,Vend HQ,,Cash Rounding,SA,TAMARA,"1427"
23731866,Tabby Saudi For communication and IT,50011,"145007",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,HILTONMAK3,Vend HQ,,Cash Rounding,SA,TABBY,"1427"
23731865,Hungerstation,45014,"145005",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,HILTONMAK3,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"1427"
23731864,HILTONMAK3,162016,"145004",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,HILTONMAK3,Vend HQ,,Cash Rounding,SA,NORMAL,"1427"
1366831,KHURAISSQ,83012,"68003",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,KHURAISSQ,Vend HQ,,Cash Rounding,SA,NORMAL,"0120"
2366831,Hungerstation,45014,"68006",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,KHURAISSQ,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0120"
1566831,Tabby Saudi For communication and IT,50011,"68009",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,KHURAISSQ,Vend HQ,,Cash Rounding,SA,TABBY,"0120"
1666831,Nakhla IT Systems (LLC) Tamara,69011,"68012",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,KHURAISSQ,Vend HQ,,Cash Rounding,SA,TAMARA,"0120"
1760131,Mrsool,45015,"68015",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,KHURAISSQ,Vend HQ,,Cash Rounding,SA,MRSOOL,"0120"
1366832,PRNCSLRD,83015,"68005",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,PRNCSLRD,Vend HQ,,Cash Rounding,SA,NORMAL,"0219"
2366832,Hungerstation,45014,"68007",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,PRNCSLRD,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0219"
1566832,Tabby Saudi For communication and IT,50011,"68010",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,PRNCSLRD,Vend HQ,,Cash Rounding,SA,TABBY,"0219"
1666832,Nakhla IT Systems (LLC) Tamara,69011,"68013",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,PRNCSLRD,Vend HQ,,Cash Rounding,SA,TAMARA,"0219"
1760132,Mrsool,45015,"68016",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,PRNCSLRD,Vend HQ,,Cash Rounding,SA,MRSOOL,"0219"
136684,MEDANDLUSH,85012,"71003",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MEDANDLUSH,Vend HQ,,Cash Rounding,SA,NORMAL,"0305"
236684,Hungerstation,45014,"71004",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MEDANDLUSH,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0305"
156684,Tabby Saudi For communication and IT,50011,"71005",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MEDANDLUSH,Vend HQ,,Cash Rounding,SA,TABBY,"0305"
166684,Nakhla IT Systems (LLC) Tamara,69011,"71006",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MEDANDLUSH,Vend HQ,,Cash Rounding,SA,TAMARA,"0305"
176014,Mrsool,45015,"71007",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MEDANDLUSH,Vend HQ,,Cash Rounding,SA,MRSOOL,"0305"
236731,Hungerstation,45014,"73039",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,JEDCORNCH1,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"221"
236732,Mrsool,45015,"73062",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,JEDCORNCH1,Vend HQ,,Cash Rounding,SA,MRSOOL,"221"
236733,Tabby Saudi For communication and IT,50011,"73085",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,JEDCORNCH1,Vend HQ,,Cash Rounding,SA,TABBY,"221"
236734,Nakhla IT Systems (LLC) Tamara,69011,"73109",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,JEDCORNCH1,Vend HQ,,Cash Rounding,SA,TAMARA,"221"
236735,KHAMESBLD,87023,"73017",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,KHAMESBLD,Vend HQ,,Cash Rounding,SA,NORMAL,"504"
236736,Hungerstation,45014,"73040",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,KHAMESBLD,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"504"
236737,Mrsool,45015,"73063",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,KHAMESBLD,Vend HQ,,Cash Rounding,SA,MRSOOL,"504"
236738,Tabby Saudi For communication and IT,50011,"73086",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,KHAMESBLD,Vend HQ,,Cash Rounding,SA,TABBY,"504"
236739,Nakhla IT Systems (LLC) Tamara,69011,"73110",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,KHAMESBLD,Vend HQ,,Cash Rounding,SA,TAMARA,"504"
236740,MEDSULTANA,87024,"73018",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MEDSULTANA,Vend HQ,,Cash Rounding,SA,NORMAL,"308"
236741,Hungerstation,45014,"73041",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MEDSULTANA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"308"
236742,Mrsool,45015,"73064",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MEDSULTANA,Vend HQ,,Cash Rounding,SA,MRSOOL,"308"
236743,Tabby Saudi For communication and IT,50011,"73087",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MEDSULTANA,Vend HQ,,Cash Rounding,SA,TABBY,"308"
236744,Nakhla IT Systems (LLC) Tamara,69011,"73111",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MEDSULTANA,Vend HQ,,Cash Rounding,SA,TAMARA,"308"
607,Hungerstation,45014,"31083",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,AMWAJ,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0401"
608,Hungerstation,45014,"31066",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,ASEER,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0501"
609,Hungerstation,45014,"31080",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,HAMRAA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0108"
610,Hungerstation,45014,"31073",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,HAYAT,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0104"
611,Hungerstation,45014,"31074",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MANAR,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0301"
612,Hungerstation,45014,"31057",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,NAKHELMALL,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0105"
613,Hungerstation,45014,"31060",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,SALAMRYD,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0109"
614,Hungerstation,45014,"31087",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,ALULA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"1502"
615,Hungerstation,45014,"31059",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,ANDLUS,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0203"
616,Hungerstation,45014,"31075",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,ARABMALL,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0210"
617,Hungerstation,45014,"31065",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,AZIZMALL,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0206"
618,Al Nakheel Mall,3003,"2003",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,NAKHELMALL,Vend HQ,,Cash Rounding,SA,NORMAL,"0105"
619,Tala Mall,3004,"2004",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,TALAMALL,Vend HQ,,Cash Rounding,SA,NORMAL,"0106"
620,Khris Mall,3005,"2005",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,KHERAIS,Vend HQ,,Cash Rounding,SA,NORMAL,"0107"
621,Al Hamra Mall,3006,"2006",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,HAMRAA,Vend HQ,,Cash Rounding,SA,NORMAL,"0108"
622,Al Salam Mall,3007,"2007",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,SALAMRYD,Vend HQ,,Cash Rounding,SA,NORMAL,"0109"
623,Noor Mall,3008,"2008",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,NOUR,Vend HQ,,Cash Rounding,SA,NORMAL,"0302"
624,Al Manar Mall,3009,"2009",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MANAR,Vend HQ,,Cash Rounding,SA,NORMAL,"0301"
625,JORI MALL,4002,"3002",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,JURIMALL,Vend HQ,,Cash Rounding,SA,NORMAL,"1001"
626,DAREEN MALL,4003,"3003",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,DAREEN,Vend HQ,,Cash Rounding,SA,NORMAL,"0701"
627,WEST AVINEO,4004,"3004",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,WESTAVENUE,Vend HQ,,Cash Rounding,SA,NORMAL,"0702"
628,AL JUBAIL MALL,4005,"3005",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,JUBAIL,Vend HQ,,Cash Rounding,SA,NORMAL,"0901"
629,AL DAHRAN MALL,4006,"3006",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,ZAHRAN,Vend HQ,,Cash Rounding,SA,NORMAL,"0601"
630,AL IHSA MALL,4007,"3007",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,EHSAA,Vend HQ,,Cash Rounding,SA,NORMAL,"0801"
631,AL NAKheel PLAZA,4008,"3008",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,NAKJPLAZA,Vend HQ,,Cash Rounding,SA,NORMAL,"1101"
632,KADI MALL,4009,"3009",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,KADI,Vend HQ,,Cash Rounding,SA,NORMAL,"1301"
633,SALMAH MALL,4010,"3010",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,SALAMAH,Vend HQ,,Cash Rounding,SA,NORMAL,"1201"
634,PARK MALL,4011,"3011",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,TABOUK,Vend HQ,,Cash Rounding,SA,NORMAL,"1501"
635,ASSER MALL,4012,"3012",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,ASEER,Vend HQ,,Cash Rounding,SA,NORMAL,"0501"
638,Hungerstation,45014,"31047",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,DAREEN,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,"0701"
643,Twaren Center,3001,"2001",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,TAWAREN,Vend HQ,,Cash Rounding,SA,NORMAL,"0101"
644,Riyadh Gallery,5,"2",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,RYDGALLER,Vend HQ,,Cash Rounding,SA,NORMAL,"0102"
645,Al Hayat Mall,3002,"2002",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,HAYAT,Vend HQ,,Cash Rounding,SA,NORMAL,"0104"
646,Tahliah,8,"8",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,TAHLIA,Vend HQ,,Cash Rounding,SA,NORMAL,"0201"
647,Red Sea Mall,9,"9",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,REDSEA,Vend HQ,,Cash Rounding,SA,NORMAL,"0202"
648,Andalus Mall,10,"10",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,ANDLUS,Vend HQ,,Cash Rounding,SA,NORMAL,"0203"
649,Mahmal Center,11,"11",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MAHMAL,Vend HQ,,Cash Rounding,SA,NORMAL,"0204"
650,Felamengo Mall,12,"12",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,FLAMINGO,Vend HQ,,Cash Rounding,SA,NORMAL,"0205"
651,Salam Mall,15,"15",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,SALAMJED,Vend HQ,,Cash Rounding,SA,NORMAL,"0208"
652,Medad Center,6,"6",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,MEDAD,Vend HQ,,Cash Rounding,SA,NORMAL,"0103"
653,AMUAJJ MALL,4001,"3001",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,AMWAJ,Vend HQ,,Cash Rounding,SA,NORMAL,"0401"
654,Aziz Mall,13,"13",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,AZIZMALL,Vend HQ,,Cash Rounding,SA,NORMAL,"0206"
655,Haifaa Mall,16,"16",AlQurashi-KSA,Vend,Vend Invoice,"1",Bank Charge,HAIFAA,Vend HQ,,Cash Rounding,SA,NORMAL,"0209"
