SUBINVENTORY,REGISTER_ID,STD_RECEIPT_BANK_ACCOUNT_NAME,STD_RECEIPT_BANK_ACCOUNT_NUMBER,STD_RECEIPT_SOURCE,MISC_RECEIPT_BANK_ACCOUNT_NAME,MISC_RECEIPT_BANK_ACCOUNT_NUMBER,MISC_RECEIPT_SOURCE
JEDNUJOD,598,Cash JEDNUJOD,Cash JEDNUJOD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank JEDNUJOD,AL Jazeerah Bank JEDNUJOD,VENDHQ_REGISTERS.BANK_ACCOUNT
DWADMIMKAN,600,Cash DWADMIMKAN,Cash DWADMIMKAN,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank DWADMIMKAN,AL Jazeerah Bank DWADMIMKAN,VENDHQ_REGISTERS.BANK_ACCOUNT
RYDROSHN,602,Cash RYDROSHN,Cash RYDROSHN,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank RYDROSHN,AL Jazeerah Bank RYDROSHN,VENDHQ_REGISTERS.BANK_ACCOUNT
BURSULMAVE,604,Cash BURSULMAVE,Cash BURSULMAVE,VENDHQ_REGISTERS.CASH_ACCOUNT,Al Jazeerah Bank BURSULMAVE,Al Jazeerah Bank BURSULMAVE,VENDHQ_REGISTERS.BANK_ACCOUNT
KWT360MALL,605,Cash KWT360MALL,Cash KWT360MALL,VENDHQ_REGISTERS.CASH_ACCOUNT,National Bank of Kuwait KWD - ACC #******,National Bank of Kuwait KWD - ACC #******,VENDHQ_REGISTERS.BANK_ACCOUNT
KWTWHMALL,606,Cash KWTWHMALL,Cash KWTWHMALL,VENDHQ_REGISTERS.CASH_ACCOUNT,National Bank of Kuwait KWD - ACC #******,National Bank of Kuwait KWD - ACC #******,VENDHQ_REGISTERS.BANK_ACCOUNT
CCNTRBHR,4189,Cash Account City Centre Bahra,ount,VENDHQ_REGISTERS.CASH_ACCOUNT,Ahli United Bank Bahrain - Acc #,Ahli United Bank Bahrain - Acc #,VENDHQ_REGISTERS.BANK_ACCOUNT
EXBBAH,4190,Cash EXBBAH,Cash EXBBAH,VENDHQ_REGISTERS.CASH_ACCOUNT,Ahli United Bank Bahrain - Acc #,Ahli United Bank Bahrain - Acc #,VENDHQ_REGISTERS.BANK_ACCOUNT
KWTALDABOS,643,,,,,,
MEDTHEGATE,607,Cash MEDTHEGATE,Cash MEDTHEGATE,Receipt_Methods.csv,AL Jazeerah Bank MEDTHEGATE,157-95017321-MEDTHEGATE,Receipt_Methods.csv
MEDSOUQEBQ,608,Cash MEDSOUQEBQ,Cash MEDSOUQEBQ,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MEDSOUQEBQ,AL Jazeerah Bank MEDSOUQEBQ,VENDHQ_REGISTERS.BANK_ACCOUNT
RYDQURTBAH,610,Cash RYDQURTBAH,Cash RYDQURTBAH,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank RYDQURTBAH,AL Jazeerah Bank RYDQURTBAH,VENDHQ_REGISTERS.BANK_ACCOUNT
ONZSOQJADD,612,Cash ONZSOQJADD,Cash ONZSOQJADD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank ONZSOQJADD,AL Jazeerah Bank ONZSOQJADD,VENDHQ_REGISTERS.BANK_ACCOUNT
JEDMNRHPLZ,613,Cash JEDMNRHPLZ,Cash JEDMNRHPLZ,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank JEDMNRHPLZ,AL Jazeerah Bank JEDMNRHPLZ,VENDHQ_REGISTERS.BANK_ACCOUNT
MATHNABMAL,614,Cash MATHNABMAL,Cash MATHNABMAL,Receipt_Methods.csv,Al Jazeerah Bank MATHNABMAL,Al Jazeerah Bank MATHNABMAL,Receipt_Methods.csv
JUBGLRYMAL,616,Cash JUBGLRYMAL,Cash JUBGLRYMAL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank JUBGLRYMAL,AL Jazeerah Bank JUBGLRYMAL,VENDHQ_REGISTERS.BANK_ACCOUNT
MJMAKRMMAL,641,Cash MJMAKRMMAL,Cash MJMAKRMMAL,Receipt_Methods.csv,AL Jazeerah Bank MJMAKRMMAL Account Acc#,AL Jazeerah Bank MJMAKRMMAL,Receipt_Methods.csv
KHMISMUJAN,644,,,,AL Jazeerah Bank KHMISMUJAN Account Acc#,AL Jazeerah Bank KHMISMUJAN,Receipt_Methods.csv
MEDZAMPLMN,645,,,,AL Jazeerah Bank MEDZAMPLMN Account,AL Jazeerah Bank MEDZAMPLMN,Receipt_Methods.csv
KHRJUNFIED,646,Cash KHRJUNFIED,Cash KHRJUNFIED,Receipt_Methods.csv,AL Jazeerah Bank KHRJUNFIED Account Acc#,AL Jazeerah Bank KHRJUNFIED,Receipt_Methods.csv
JURSHIKHIR,647,Cash JURSHIKHIR,Cash JURSHIKHIR,Receipt_Methods.csv,AL Jazeerah Bank JURSHIKHIR Account Acc#,AL Jazeerah Bank JURSHIKHIR,Receipt_Methods.csv
DWDMMKANML,648,Cash  DWDMMKANML,Cash  DWDMMKANML,Receipt_Methods.csv,AL Jazeerah Bank DWDMMKANML Account Acc#,AL Jazeerah Bank DWDMMKANML,Receipt_Methods.csv
SALALAH,402,Cash Salalah,Cash Salalah,VENDHQ_REGISTERS.CASH_ACCOUNT,Oman Arab Bank OMR,Oman Arab Bank OMR,VENDHQ_REGISTERS.BANK_ACCOUNT
MEDANDLUSH,414,CashMEDANDLUSH,CashMEDANDLUSH,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MEDANDLUSH,AL Jazeerah Bank MEDANDLUSH,VENDHQ_REGISTERS.BANK_ACCOUNT
MAKSHOUQ,415,Cash MAKSHOUQ,Cash MAKSHOUQ,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MAKSHOUQ,AL Jazeerah Bank MAKSHOUQ,VENDHQ_REGISTERS.BANK_ACCOUNT
MCTLLUIBRI,452,Cash MCTLLUIBRI,Cash MCTLLUIBRI,VENDHQ_REGISTERS.CASH_ACCOUNT,Oman Arab Bank Account- ACC # 3106-573999-500,ount-,VENDHQ_REGISTERS.BANK_ACCOUNT
MCTLLUAMRT,453,Cash MCTLLUAMRT,Cash MCTLLUAMRT,VENDHQ_REGISTERS.CASH_ACCOUNT,Oman Arab Bank Account- ACC # 3106-573999-500,ount-,VENDHQ_REGISTERS.BANK_ACCOUNT
SMARTSHRYD,459,Cash SMARTSHRYD,Cash SMARTSHRYD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank SMARTSHRYD,AL Jazeerah Bank SMARTSHRYD,VENDHQ_REGISTERS.BANK_ACCOUNT
HAMDANYA2,460,Cash HAMDANYA2,Cash HAMDANYA2,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank HAMDANYA2,AL Jazeerah Bank HAMDANYA2,VENDHQ_REGISTERS.BANK_ACCOUNT
ALAQEQRYD,461,Cash ALAQEQRYD,Cash ALAQEQRYD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank ALAQEQRYD,AL Jazeerah Bank ALAQEQRYD,VENDHQ_REGISTERS.BANK_ACCOUNT
TAIBAMED,462,Cash TAIBAMED,Cash TAIBAMED,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank TAIBAMED,AL Jazeerah Bank TAIBAMED,VENDHQ_REGISTERS.BANK_ACCOUNT
AZIZIARYD,463,Cash AZIZIARYD,Cash AZIZIARYD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank AZIZIARYD,AL Jazeerah Bank AZIZIARYD,VENDHQ_REGISTERS.BANK_ACCOUNT
THEGATERYD,464,Cash THEGATERYD,Cash THEGATERYD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank THEGATERYD,AL Jazeerah Bank THEGATERYD,VENDHQ_REGISTERS.BANK_ACCOUNT
ALMALGARYD,465,Cash ALMALGARYD,Cash ALMALGARYD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank ALMALGARYD,AL Jazeerah Bank ALMALGARYD,VENDHQ_REGISTERS.BANK_ACCOUNT
DEERFIELD2,456,Cash DEERFIELD2,Cash DEERFIELD2,VENDHQ_REGISTERS.CASH_ACCOUNT,Abu Dhabi Islamic Bank Account AED,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
MUBARKIA,455,Cash Account MUBARKIA,ount,VENDHQ_REGISTERS.CASH_ACCOUNT,National Bank of Kuwait KWD - ACC #******,National Bank of Kuwait KWD - ACC #******,VENDHQ_REGISTERS.BANK_ACCOUNT
DUBAIDALMA,483,Cash DUBAIDALMA,Cash DUBAIDALMA,VENDHQ_REGISTERS.CASH_ACCOUNT,Abu Dhabi Islamic Bank Account AED,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
KHAMISKKHD,486,Cash KHAMISKKHD,Cash KHAMISKKHD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank KHAMISKKHD,AL Jazeerah Bank KHAMISKKHD,VENDHQ_REGISTERS.BANK_ACCOUNT
ALQASRMALL,503,Cash ALQASRMALL,Cash ALQASRMALL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank ALQASRMALL,AL Jazeerah Bank ALQASRMALL,VENDHQ_REGISTERS.BANK_ACCOUNT
KHAMSBLVRD,504,Cash KHAMSBLVRD,Cash KHAMSBLVRD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank KHAMSBLVRD,AL Jazeerah Bank KHAMSBLVRD,VENDHQ_REGISTERS.BANK_ACCOUNT
NAJPARK,505,Cash NAJPARK,Cash NAJPARK,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank NAJPARK,AL Jazeerah Bank NAJPARK,VENDHQ_REGISTERS.BANK_ACCOUNT
MEDALMATAL,506,Cash MEDALMATAL,Cash MEDALMATAL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MEDALMATAL,AL Jazeerah Bank MEDALMATAL,VENDHQ_REGISTERS.BANK_ACCOUNT
MEDMAYAS,507,Cash MEDMAYAS,Cash MEDMAYAS,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MEDMAYAS,AL Jazeerah Bank MEDMAYAS,VENDHQ_REGISTERS.BANK_ACCOUNT
YANBUMALL,508,Cash YANBUMALL,Cash YANBUMALL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank YANBUMALL,AL Jazeerah Bank YANBUMALL,VENDHQ_REGISTERS.BANK_ACCOUNT
MEDJWALK,509,Cash MEDJWALK,Cash MEDJWALK,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MEDJWALK,AL Jazeerah Bank MEDJWALK,VENDHQ_REGISTERS.BANK_ACCOUNT
HAILZONE,510,Cash HAILZONE,Cash HAILZONE,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank HAILZONE,AL Jazeerah Bank HAILZONE,VENDHQ_REGISTERS.BANK_ACCOUNT
QATIFCC,533,Cash QATIFCC,Cash QATIFCC,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank QATIFCC,AL Jazeerah Bank QATIFCC,VENDHQ_REGISTERS.BANK_ACCOUNT
EXBUAE,531,Cash EXBUAE,Cash EXBUAE,VENDHQ_REGISTERS.CASH_ACCOUNT,Abu Dhabi Islamic Bank Account AED,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
EXBUAE1,532,,,,,,
TAIFTERAML,539,Cash TAIFTERAML,Cash TAIFTERAML,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank TAIFTERAML,AL Jazeerah Bank TAIFTERAML,VENDHQ_REGISTERS.BANK_ACCOUNT
JEDQURAISH,541,Cash JEDQURAISH,Cash JEDQURAISH,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank JEDQURAISH,AL Jazeerah Bank JEDQURAISH,VENDHQ_REGISTERS.BANK_ACCOUNT
JEDDAHPARK,542,Cash JEDDAHPARK,Cash JEDDAHPARK,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank JEDDAHPARK,AL Jazeerah Bank JEDDAHPARK,VENDHQ_REGISTERS.BANK_ACCOUNT
WADIDAWSER,548,Cash WADIDAWSER,Cash WADIDAWSER,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank WADIDAWSER,AL Jazeerah Bank WADIDAWSER,VENDHQ_REGISTERS.BANK_ACCOUNT
MAKDARTWHD,549,Cash MAKDARTWHD,Cash MAKDARTWHD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MAKDARTWHD,AL Jazeerah Bank MAKDARTWHD,VENDHQ_REGISTERS.BANK_ACCOUNT
MAKAHMALL2,553,Cash MAKAHMALL2,Cash MAKAHMALL2,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MAKAHMALL2,AL Jazeerah Bank MAKAHMALL2,VENDHQ_REGISTERS.BANK_ACCOUNT
TIFZHRNCTR,554,Cash TIFZHRNCTR,Cash TIFZHRNCTR,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank TIFZHRNCTR,AL Jazeerah Bank TIFZHRNCTR,VENDHQ_REGISTERS.BANK_ACCOUNT
QOUZBLVRD,555,Cash QOUZBLVRD,Cash QOUZBLVRD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank QOUZBLVRD,AL Jazeerah Bank QOUZBLVRD,VENDHQ_REGISTERS.BANK_ACCOUNT
ABHHIZAMST,581,Cash ABHHIZAMST,Cash ABHHIZAMST,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank ABHHIZAMST,AL Jazeerah Bank ABHHIZAMST,VENDHQ_REGISTERS.BANK_ACCOUNT
JEDKHUMRAH,582,Cash JEDKHUMRAH,Cash JEDKHUMRAH,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank JEDKHUMRAH,AL Jazeerah Bank JEDKHUMRAH,VENDHQ_REGISTERS.BANK_ACCOUNT
JEDKNGAZIZ,583,Cash JEDKNGAZIZ,Cash JEDKNGAZIZ,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank JEDKNGAZIZ,AL Jazeerah Bank JEDKNGAZIZ,VENDHQ_REGISTERS.BANK_ACCOUNT
RASHIDMAD2,584,Cash RASHIDMAD2,Cash RASHIDMAD2,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank RASHIDMAD2,AL Jazeerah Bank RASHIDMAD2,VENDHQ_REGISTERS.BANK_ACCOUNT
JEDSULTNST,585,Cash JEDSULTNST,Cash JEDSULTNST,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank JEDSULTNST,AL Jazeerah Bank JEDSULTNST,VENDHQ_REGISTERS.BANK_ACCOUNT
