REGISTER_ID,OUTLET_ID,REGISTER_NAME,CASH_ACCOUNT,CASH_ACCOUNT_ID,BANK_ACCOUNT,BANK_ACCOUNT_ID,VERSION,DELETED_AT,REGION,GIFT_ACCOUNT,GIFT_ACCOUNT_ID
376,221,TABOUK,Cash Tabuk Park Mall,3E+14,AL Jazeerah Bank Tabouk Park Mall Account - Acc # 015795017321029,3E+14,,,SA,,
336,190,ZAHRAN,Cash AL DAHRAN MALL,3E+14,AL Jazeerah Bank Dahran Mall Account - Acc # 015795017321039,3E+14,,,SA,,
348,169,KADI,Cash KADI MALL,3E+14,AL Jazeerah Bank Kadi Mall Account - Acc # 015795017321036,3E+14,,,SA,,
367,168,JURIMALL,Cash JORI MALL,3E+14,AL Jazeerah Bank Jory Mall Account - Acc # 015795017321035,3E+14,,,SA,,
185,202,MUSCATCC,Cash City Centre Muscat,3E+14,Oman Arab Bank OMR,3E+14,,,OM,,
353,173,MAKTOWER,CASH Makkah tower Branch,3E+14,AL Jazeerah Bank MAKTOWER Account - Acc #,3E+14,,,SA,,
242,210,FUJAIRAHCC,Cash FujairahCC,3E+14,Abu Dhabi Islamic Bank Account AED,3E+14,,,AE,,
243,212,MIRDIFFCC,Cash MCC,3E+14,Abu Dhabi Islamic Bank Account AED,3E+14,,,AE,,
190,204,SOHARCITY,Cash Sohar City,3E+14,Oman Arab Bank OMR,3E+14,,,OM,,
183,207,Hall 8,Cash Account Hall 8,3E+14,National Bank of Kuwait KWD - ACC #******,3E+14,,,KW,,
372,217,ALULA,CASH Al Ula Event Branch,3E+14,AL Jazeerah Bank Ula Event Account - Acc # 015795017321041,3E+14,,,SA,,
369,214,ARARMALL,Cash Ararmall,3E+14,AL Jazeerah Bank Ararmalld Account - Acc # 015795017321048,3E+14,,,SA,,
337,170,GRMALLHAIL,CashOth Mall Hail,3E+14,AL Jazeerah Bank Oth Mall Hail Account - Acc # 015795017321045,3E+14,,,SA,,
362,181,RABWA,Cash Oth Mall Rabwa,3E+14,AL Jazeerah Bank Oth Mall Rabwa Account - Acc # 015795017321047,3E+14,,,SA,,
355,153,EXBSA02,Cash EXBSA02,3E+14,AL Jazeerah Bank EXBSA02 Jed Account - Acc # 015795017321044,3E+14,,,SA,,
354,211,ONAIZAH,Cash Onaizah,3E+14,AL Jazeerah Bank Onaizah  Account - Acc # 015795017321046,3E+14,,,SA,,
1,152,EXBS,Cash EXBSA Riyadh,3E+14,AL Jazeerah Bank EXBSA RYD Account - Acc # ,3E+14,,,SA,,
239,199,WEHDA,Cash AL Wehdah Mall,3E+14,Abu Dhabi Islamic Bank Account AED,3E+14,,,AE,,
233,193,DEERFIELDS,Cash Deerfields Mall,3E+14,Abu Dhabi Islamic Bank Account AED,3E+14,,,AE,,
232,192,CITYWALK,Cash City Walk Mall,3E+14,Abu Dhabi Islamic Bank Account AED,3E+14,,,AE,,
237,197,MARSASEEF,Cash Marsa AL Seef Mall,3E+14,Abu Dhabi Islamic Bank Account AED,3E+14,,,AE,,
238,198,SAHARH,Cash Saharah Mall,3E+14,Abu Dhabi Islamic Bank Account AED,3E+14,,,AE,,
231,191,ALAIN,Cash AL Ain Mall,3E+14,Abu Dhabi Islamic Bank Account AED,3E+14,,,AE,,
235,195,FUJAIRAH,Cash AL Fujairah Mall,3E+14,Abu Dhabi Islamic Bank Account AED,3E+14,,,AE,,
236,196,MANARRAK,Cash Manar Mall RAK,3E+14,Abu Dhabi Islamic Bank Account AED,3E+14,,,AE,,
189,203,OMMAL,Cash Mall of Oman,3E+14,Oman Arab Bank OMR,3E+14,,,OM,,
363,183,SALAMRYD,Cash Al Salam Mall,3E+14,AL Jazeerah Bank Salam Ryd Mall Account - Acc # 015795017321022,3E+14,,,SA,,
72,205,Avenues,Cash Account Avenues MALL,3E+14,National Bank of Kuwait KWD - ACC #******,3E+14,,,KW,,
368,159,DANA,CASH Dana Mall Branch,3E+14,AL Jazeerah Bank Dana Mall Account - Acc # 015795017321040,3E+14,,,SA,,
234,194,DUBMAL,Cash Dubai Mall,3E+14,Abu Dhabi Islamic Bank Account AED,3E+14,,,AE,,
241,208,YASKIOSK,Cash YASKIOSK,3E+14,Abu Dhabi Islamic Bank Account AED,3E+14,,,AE,,
191,209,EXBOMN,Cash EXBOMN,3E+14,Oman Arab Bank Account- ACC # 3106-573999-500,3E+14,,,OM,,
381,222,AVENUKIOSK,Cash Account Avenues Kiosk,3E+14,National Bank of Kuwait KWD - ACC #******,3E+14,,,KW,,
379,184,EXBSA04,Cash EXBSA04,3E+14,AL Jazeerah Bank EXBSA04 Account - Acc #,3E+14,,,SA,,
373,218,EXBSA03,Cash EXBSA03,3E+14,AL Jazeerah Bank EXBSA03 Account - Acc #,3E+14,,,SA,,
360,176,NAKHELMALL,Cash Nakheel Mall,3E+14,AL Jazeerah Bank Nakhel Mall Account - Acc # 015795017321020,3E+14,,,SA,,
