ROW_ID,BILL_TO_NAME,BILL_TO_ACCOUNT,STD_RCPT_NO,Address_SITE_NUMBER,BUSINESS_UNIT,TXN_SOURCE,TXN_TYPE,RATE_IS_CORPORATE,REC_ACTIVITY_NAME_BANK,SUBINVENTORY,INTEGRATION_SOURCE,DISTRIBUTION_ACC_ID,REC_ACTIVITY_NAME_CASH,REGION,CUSTOMER_TYPE,COST_CENTER_CODE
724,Buraida Othaim,68017,49009,407048,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,BUROTHAIM,Vend HQ,,Cash Rounding,SA,NORMAL,1103
725,Dam Othaim,68018,49010,407049,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,DAMMOTHAIM,Vend HQ,,Cash Rounding,SA,NORMAL,0703
23731609,DAMRIVEIRA,122015,106008,649325,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,DAMRIVEIRA,Vend HQ,,Cash Rounding,SA,NORMAL,705
662,Dana Mall,34011,32003,176028,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,DANA,Vend HQ,,Cash Rounding,SA,NORMAL,1701
626,DAREEN MALL,4003,3003,12003,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,DAREEN,Vend HQ,,Cash Rounding,SA,NORMAL,0701
23731571,EHSALBUSTAN,112012,97034,640154,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,EHSALBUSTA,Vend HQ,,Cash Rounding,SA,NORMAL,0805
692,Exhibition Jed,57012,41004,347082,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,EXBSA02,Vend HQ,,Cash Rounding,SA,NORMAL,0113
678,Exhibition-SA,55012,39004,338045,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,EXBSA,Vend HQ,,Cash Rounding,SA,NORMAL,0113
663,Exhibition-SA3,67014,48005,382046,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,EXBSA03,Vend HQ,,Cash Rounding,SA,NORMAL,0110
664,Exhibition-SA4,67015,48006,382047,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,EXBSA04,Vend HQ,,Cash Rounding,SA,NORMAL,0110
650,Felamengo Mall,12,12,1031,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,FLAMINGO,Vend HQ,,Cash Rounding,SA,NORMAL,0205
