ROW_ID,BILL_TO_NAME,BILL_TO_ACCOUNT,BILL_TO_SITE_NUMBER,BUSINESS_UNIT,TXN_SOURCE,TXN_TYPE,RATE_IS_CORPORATE,REC_ACTIVITY_NAME_BANK,SUBINVENTORY,INTEGRATION_SOURCE,DISTRIBUTION_ACC_ID,REC_ACTIVITY_NAME_CASH,REGION,CUSTOMER_TYPE,COST_CENTER_CODE
2654,Nakhla IT Systems (LLC) Tamara,69011,3000031,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,AZIZMALL,Vend HQ,,Cash Rounding,SA,TAMARA,206
1662,Tabby Saudi For communication and IT,50011,3000056,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,DANA,Vend HQ,,Cash Rounding,SA,TABBY,1701
2662,Nakhla IT Systems (LLC) Tamara,69011,3000014,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,DANA,Vend HQ,,Cash Rounding,SA,TAMARA,1701
1626,Tabby Saudi For communication and IT,50011,3000059,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,DAREEN,Vend HQ,,Cash Rounding,SA,TABBY,701
2626,Nakhla IT Systems (LLC) Tamara,69011,3000017,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,DAREEN,Vend HQ,,Cash Rounding,SA,TAMARA,701
1650,Tabby Saudi For communication and IT,50011,3000072,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,FLAMINGO,Vend HQ,,Cash Rounding,SA,TABBY,205
2650,Nakhla IT Systems (LLC) Tamara,69011,3000030,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,FLAMINGO,Vend HQ,,Cash Rounding,SA,TAMARA,205
1694,Tabby Saudi For communication and IT,50011,3000064,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,GRANADA,Vend HQ,,Cash Rounding,SA,TABBY,110
2694,Nakhla IT Systems (LLC) Tamara,69011,3000022,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,GRANADA,Vend HQ,,Cash Rounding,SA,TAMARA,110
1655,Tabby Saudi For communication and IT,50011,3000075,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HAIFAA,Vend HQ,,Cash Rounding,SA,TABBY,209
2655,Nakhla IT Systems (LLC) Tamara,69011,3000033,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HAIFAA,Vend HQ,,Cash Rounding,SA,TAMARA,209
1632,Tabby Saudi For communication and IT,50011,3000081,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,KADI,Vend HQ,,Cash Rounding,SA,TABBY,1301
2632,Nakhla IT Systems (LLC) Tamara,69011,3000039,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,KADI,Vend HQ,,Cash Rounding,SA,TAMARA,1301
1625,Tabby Saudi For communication and IT,50011,3000065,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,JURIMALL,Vend HQ,,Cash Rounding,SA,TABBY,1001
2625,Nakhla IT Systems (LLC) Tamara,69011,3000023,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,JURIMALL,Vend HQ,,Cash Rounding,SA,TAMARA,1001
1620,Tabby Saudi For communication and IT,50011,3000084,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,KHERAIS,Vend HQ,,Cash Rounding,SA,TABBY,107
2620,Nakhla IT Systems (LLC) Tamara,69011,3000042,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,KHERAIS,Vend HQ,,Cash Rounding,SA,TAMARA,107
1649,Tabby Saudi For communication and IT,50011,3000071,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MAHMAL,Vend HQ,,Cash Rounding,SA,TABBY,204
2649,Nakhla IT Systems (LLC) Tamara,69011,3000029,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MAHMAL,Vend HQ,,Cash Rounding,SA,TAMARA,204
2667,Nakhla IT Systems (LLC) Tamara,69011,3000041,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MAKKAH,Vend HQ,,Cash Rounding,SA,TAMARA,1401
1652,Tabby Saudi For communication and IT,50011,3000067,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MEDAD,Vend HQ,,Cash Rounding,SA,TABBY,103
2652,Nakhla IT Systems (LLC) Tamara,69011,3000025,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MEDAD,Vend HQ,,Cash Rounding,SA,TAMARA,103
1623,Tabby Saudi For communication and IT,50011,3000055,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,NOUR,Vend HQ,,Cash Rounding,SA,TABBY,302
2623,Nakhla IT Systems (LLC) Tamara,69011,3000013,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,NOUR,Vend HQ,,Cash Rounding,SA,TAMARA,302
1634,Tabby Saudi For communication and IT,50011,3000076,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,TABOUK,Vend HQ,,Cash Rounding,SA,TABBY,1501
2634,Nakhla IT Systems (LLC) Tamara,69011,3000034,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,TABOUK,Vend HQ,,Cash Rounding,SA,TAMARA,1501
1647,Tabby Saudi For communication and IT,50011,3000069,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,REDSEA,Vend HQ,,Cash Rounding,SA,TABBY,202
2647,Nakhla IT Systems (LLC) Tamara,69011,3000027,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,REDSEA,Vend HQ,,Cash Rounding,SA,TAMARA,202
1651,Tabby Saudi For communication and IT,50011,3000074,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,SALAMJED,Vend HQ,,Cash Rounding,SA,TABBY,208
2651,Nakhla IT Systems (LLC) Tamara,69011,3000032,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,SALAMJED,Vend HQ,,Cash Rounding,SA,TAMARA,208
1633,Tabby Saudi For communication and IT,50011,3000046,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,SALAMAH,Vend HQ,,Cash Rounding,SA,TABBY,1201
2633,Nakhla IT Systems (LLC) Tamara,69011,3000004,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,SALAMAH,Vend HQ,,Cash Rounding,SA,TAMARA,1201
1646,Tabby Saudi For communication and IT,50011,3000048,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,TAHLIA,Vend HQ,,Cash Rounding,SA,TABBY,201
2646,Nakhla IT Systems (LLC) Tamara,69011,3000006,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,TAHLIA,Vend HQ,,Cash Rounding,SA,TAMARA,201
1619,Tabby Saudi For communication and IT,50011,3000058,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,TALAMALL,Vend HQ,,Cash Rounding,SA,TABBY,106
2619,Nakhla IT Systems (LLC) Tamara,69011,3000016,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,TALAMALL,Vend HQ,,Cash Rounding,SA,TAMARA,106
1643,Tabby Saudi For communication and IT,50011,3000082,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,TAWAREN,Vend HQ,,Cash Rounding,SA,TABBY,101
2643,Nakhla IT Systems (LLC) Tamara,69011,3000040,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,TAWAREN,Vend HQ,,Cash Rounding,SA,TAMARA,101
1627,Tabby Saudi For communication and IT,50011,3000060,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,WESTAVENUE,Vend HQ,,Cash Rounding,SA,TABBY,702
2627,Nakhla IT Systems (LLC) Tamara,69011,3000018,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,WESTAVENUE,Vend HQ,,Cash Rounding,SA,TAMARA,702
1666,Tabby Saudi For communication and IT,50011,3000049,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,YASMEEN,Vend HQ,,Cash Rounding,SA,TABBY,207
2666,Nakhla IT Systems (LLC) Tamara,69011,3000007,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,YASMEEN,Vend HQ,,Cash Rounding,SA,TAMARA,207
1631,Tabby Saudi For communication and IT,50011,3000063,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,NAKJPLAZA,Vend HQ,,Cash Rounding,SA,TABBY,1101
1648,Tabby Saudi For communication and IT,50011,3000070,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ANDLUS,Vend HQ,,Cash Rounding,SA,TABBY,203
