Order,Method,Amount,Fixed,Variable,Expected_Charge
MAKKAH/107658,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/107657,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/107653,TAMARA,75.0,1.5,3.1875000000000004,4.69
MAKKAH/107652,TAMARA,499.0,1.5,21.207500000000003,22.71
MAKKAH/107595,TABBY,248.0,1.0,12.4,13.4
MAKKAH/107585,TAMARA,413.0,1.5,17.552500000000002,19.05
MAKKAH/107571,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/107559,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/107537,TAMARA,320.0,1.5,13.600000000000001,15.1
MAKKAH/107517,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/107513,TAMARA,399.0,1.5,16.9575,18.46
MAKKAH/107508,TAMARA,160.0,1.5,6.800000000000001,8.3
MAKKAH/107462,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/107449,TAMARA,274.0,1.5,11.645000000000001,13.15
MAKKAH/107405,TABBY,399.0,1.0,19.950000000000003,20.95
MAKKAH/107400,TABBY,399.0,1.0,19.950000000000003,20.95
MAKKAH/107395,TABBY,149.0,1.0,7.45,8.45
MAKKAH/107386,TABBY,199.0,1.0,9.950000000000001,10.95
MAKKAH/107373,TABBY,399.0,1.0,19.950000000000003,20.95
MAKKAH/107349,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/107347,TABBY,764.0,1.0,38.2,39.2
MAKKAH/107329,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/107328,TAMARA,375.0,1.5,15.937500000000002,17.44
MAKKAH/107312,TABBY,399.0,1.0,19.950000000000003,20.95
MAKKAH/107262,TAMARA,149.0,1.5,6.3325000000000005,7.83
MAKKAH/107260استرداد الأموال ,TAMARA,-149.0,1.5,6.3325000000000005,7.83
MAKKAH/107260,TAMARA,149.0,1.5,6.3325000000000005,7.83
MAKKAH/107246,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/107209,TABBY,299.0,1.0,14.950000000000001,15.95
MAKKAH/107196,TAMARA,299.0,1.5,12.707500000000001,14.21
MAKKAH/107191,TAMARA,312.0,1.5,13.260000000000002,14.76
MAKKAH/107186,TAMARA,399.0,1.5,16.9575,18.46
MAKKAH/107173,TAMARA,126.0,1.5,5.355,6.86
MAKKAH/107172,TABBY,300.0,1.0,15.0,16.0
MAKKAH/107161,TAMARA,340.0,1.5,14.450000000000001,15.95
MAKKAH/107129,TABBY,249.0,1.0,12.450000000000001,13.45
MAKKAH/107115,TABBY,249.0,1.0,12.450000000000001,13.45
MAKKAH/107100,TABBY,489.0,1.0,24.450000000000003,25.45
MAKKAH/107046,TABBY,555.0,1.0,27.75,28.75
MAKKAH/107045,TABBY,199.0,1.0,9.950000000000001,10.95
MAKKAH/107034,TABBY,397.0,1.0,19.85,20.85
MAKKAH/107017,TAMARA,195.0,1.5,8.287500000000001,9.79
MAKKAH/106995,TAMARA,199.0,1.5,8.457500000000001,9.96
MAKKAH/106994,TAMARA,249.0,1.5,10.582500000000001,12.08
MAKKAH/106993,TAMARA,209.0,1.5,8.8825,10.38
